"Name","Team","Bye Week","Rank","$","Points","Risk","Tier","Outlook","Dynasty","Markers"
"Michael Pittman Jr.","IND","14","11","$20","209.0","3.3","3","Pitty City, population FootClan! There’s plenty of reason to get excited about Pittman having a breakout campaign in 2022. If you look at the depth chart, who could possibly take targets away from Pittman? With improved QB play with Matt Ryan on the roster, Pittman has a chance to explode this year after earning a 25.7% target share a season ago.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"DJ Moore","CAR","13","12","$18","205.9","5.0","3","Moore’s talent is obvious on the field but the lack of TDs is frustrating. After all, you’re not going to be a top fantasy option if you only score 4 TDs, which is exactly what Moore has done each of the last three seasons. He has the 5th most targets & receiving yards for a WR before turning 25 in NFL history. With Baker Mayfield now as QB1, he could approach top-12 status if things break right in the TD category. He's more of a volatile WR2 for fantasy in our projections.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tee Higgins","CIN","10","13","$19","205.4","3.0","3","Higgins is a great way to get exposure to the Bengals offense if you miss out on Ja’Marr Chase early in drafts. Higgins quietly had a fantastic role last year based on the underlying metrics. Even with Chase having a historic rookie season, Higgins still posted a 23.9% target share and ranked 10th at the position in yards per route run. In fact, Higgins had more total targets than Ja’Marr Chase following the team’s Week 10 bye. Because both wideouts will have big games, the consistency may not be there for Higgins. He should finish as a rock solid WR2 with spike weeks throughout the year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Courtland Sutton","DEN","9","14","$18","205.0","4.0","3","Sutton predictably struggled last season, especially coming off his torn ACL from the year prior. Now two years out from surgery and with Russell Wilson in town, there’s plenty of reason to get excited about the TD upside for Sutton, who flashed big play ability early in his career. Sutton was targeted 20+ yards downfield 29 times last season, 7th most in football. He caught just 9 of those passes, which helps illustrate some of the QB concerns from a year ago. Wilson has been one of football’s best deep passers over the last five years, and if Sutton is used similarly this year, we can certainly expect that catch rate to improve, giving Sutton a boost in efficiency and upside in 2022.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Keenan Allen","LAC","8","15","$17","199.1","2.8","3","One word to describe Keenan Allen in fantasy over the last 5 seasons? Reliable. The Chargers' slot WR has finished as the WR14 or better in every season going back to 2017 and should have a similar role that he had last season when he saw a 25% target share. While a top 5 fantasy ceiling probably isn’t in his range of outcomes, Allen projects as a rock solid WR2 yet again for fantasy.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"A.J. Brown","PHI","7","16","$17","199.1","3.8","3","Fly Eagles, Fly! AJ Brown teams up with his buddy, Jalen Hurts, in Philly after signing a $100 million contract this off-season. Brown has always been a player who’s thrived on efficiency as we’ve seen him have success in Tennessee’s low-volume passing offense. He’s ranked top-8 in yards per route run each of his three professional seasons. The primary question marks here are if Jalen Hurts can take a step forward as a passer and Philadelphia’s offensive game plan. From Weeks 1-7 last year, they ranked 5th in neutral situation pass rate; from Week 8 on, they completely flipped the script from Week 8 on ranking 2nd in neutral situation rush rate. If we see the pass attempts go up from Hurts, it would certainly elevate Brown’s fantasy ceiling in 2022.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Brandin Cooks","HOU","6","17","$17","198.3","2.5","3","Will Brandin Cooks ever be properly valued in fantasy? The dude just keeps beating his ADP year after year. With Davis “General” Mills hopefully taking a step forward in year two, Cooks should continue to be the focal point for an offense void of playmakers that projects to play from behind quite often. If you’re looking for a rock solid WR2, look no further than Cooks, who’s finished as a top-20 fantasy WR in back-to-back seasons in Houston and top-20 WR in six of the last seven years.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Marquise Brown","ARI","13","18","$15","195.1","3.7","3","DeAndre Hopkins is suspended for the first six games of the year, and Christian Kirk is now in Jacksonville. Could Marquise Brown and his former college QB Kyler Murray be a match made in heaven? The underlying metrics suggest this could be a perfect fit for Brown’s fantasy upside. A year ago, Brown saw the 6th most deep targets in the league, and no QB in football had a better deep ball completion rate than Kyler.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Allen Robinson II","LAR","7","19","$14","190.5","5.8","3","Cooper Kupp should yet again dominate targets in LA, but we know Allen Robinson is a talented WR and now he gets to play on the best offense of his career with the best QB of his career. As long as Kupp is healthy, A-Rob’s fantasy ceiling is capped, but as we saw with Odell Beckham Jr. down the stretch last season, multiple WRs can get there in this loaded Rams offense.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jaylen Waddle","MIA","11","20","$14","190.0","3.3","3","Can Tua Tagovailoa support multiple elite fantasy WRs? With Tyreek Hill now in Miami and a new coaching staff aboard, there are obvious question marks about what the target share might look like for the Dolphins' pass catchers. Waddle’s range of outcomes is wider with Hill on the roster, but if Tua can take a step forward in 2022, it’s possible both guys are being undervalued in fantasy drafts.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Diontae Johnson","PIT","9","21","$13","187.0","4.3","4","Johnson has been the apple of Ben Roethlisberger’s eye over the last two seasons as an absolute target hog. Will that change with either Kenny Pickett or Mitch Trubisky under center? That remains to be seen but it’s possible even if the same target share isn’t available, that all WRs in Pittsburgh benefit from more downfield passing attempts, which in theory, could improve Johnson’s efficiency and upside in fantasy. Last year, just 14% of Johnson’s targets came 20+ yards down the field, one of the lowest marks in all of football.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Darnell Mooney","CHI","14","22","$13","186.0","4.0","4","It’s nearly impossible not to project Darnell Mooney for a 25+% target share when you look at the Bears' depth chart (try not to laugh!), so he should produce for fantasy on volume alone. He’s just 24 years old and is coming off the WR24 fantasy finish a year ago. If Justin Fields can take a step forward this season, Mooney’s ceiling is…the moon? Dad jokes for the win!","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Amon-Ra St. Brown","DET","6","23","$12","183.6","3.7","4","St. Brown was a league winner down the stretch last season when he averaged over 20 fantasy points per game from Weeks 13-18. In that span, he saw double-digit targets in every game, but that production came with D’Andre Swift and T.J. Hockenson injured. While Brown is still likely to contribute for the Lions this season, his volume isn’t so safe. Not only are Swift and Hock back, but the team traded up to take Jameson Williams with the 12th overall pick and they signed D.J. Chark to a one-year deal.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jerry Jeudy","DEN","9","24","$12","183.3","5.0","4","Goodbye Drew Lock and Teddy B, Hello Mr. Unliiiimmiiiitttteddd. The hype will continue to build this summer for Jerry Jeudy with Russell Wilson now under center, and based on what we’ve seen with Russ in Seattle, he can absolutely support two top-24 fantasy WRs.  The presence of Courtland Sutton could cap his ceiling as Jeudy has only two top-20 fantasy weeks in his entire career. Nevertheless, we expect Jeudy’s route running and Wilson’s arm talent to make sweet, sweet music in Denver.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Adam Thielen","MIN","7","25","$11","181.9","5.0","4","Last season, Thielen injured his ankle in Week 13 but from Weeks 1-12, he was still producing elite numbers for fantasy as he was the WR7 in that time frame. The cliff is probably coming sooner than later for Thielen as he enters the latter stages of his career, but there’s a good chance he returns value even if the ceiling isn’t what it once was. Aside from Justin Jefferson, the target competition on this WR depth chart is minimal, and Thielen and Kirk Cousins have undeniable chemistry in the red zone.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Terry McLaurin","WAS","14","26","$11","181.1","4.3","4","It feels like McLaurin has been on the brink of a big season for quite a while but lackluster QB play has prevented him from reaching his ceiling…enter Carson Wentz. Despite the fact that fantasy managers should feel confident in McLaurin’s talent and opportunity, there are genuine concerns if McLaurin has top-12 WR upside. He’s more of a WR2 in fantasy circles this year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"DK Metcalf","SEA","11","27","$10","179.5","5.0","4","There is no denying the talent and raw athleticism of DK Metcalf, but you can't help but have legitimate question marks surrounding the Seattle offense. Pete Carrol seems firmly on team #EstablishTheRun, now Mr. Irresponsible, Drew Lock, is under center. In his pro career, Lock’s TD rate sits at just 3.8%, well below the career 6.8% rate from Russell Wilson. On a run-first team with suspect QB play, Metcalf’s ceiling looks much lower than it did a season ago.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Rashod Bateman","BAL","10","28","$10","177.2","3.7","4","Marquise Brown saw 146 targets a season ago, which was the 9thhmost among all WRs. That, combined with the departure of Sammy Watkins, leaves a massive opportunity for Bateman to take a step forward in year two. Of course, the concerns are that this offense projects to be run-heavy and Mark Andrews is this team’s WR1. Even so, Bateman is a talented young player with an exciting opportunity in 2022. Projecting a 22+ target share is a good place to start.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Christian Kirk","JAX","11","29","$9","176.0","5.2","4","Kirk signed a huge deal in free agency to head to Jacksonville, but there are tons of question marks about his fantasy ceiling in this offense. While the coaching and scheme should be light years ahead of what they had last year, Kirk’s never been a 25+% target share type of WR, and we need to see more from Trevor Lawrence to buy into Kirk as a top fantasy option. Expect some splash games from Kirk, but the consistency is likely to be an issue.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Elijah Moore","NYJ","10","30","$9","175.1","4.3","4","Moore flashed when given the opportunity last season, but the WR depth chart is suddenly crowded in New York and Zach Wilson isn’t exactly the type of QB we feel confident can support multiple fantasy pass catchers. That said, he posted a strong 1.75 yards per route run as a rookie and should dominate slot snaps with Jamison Crowder in Buffalo. He could easily finish the year as the team's most targeted player but the upside is capped.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"JuJu Smith-Schuster","KC","8","31","$9","174.7","4.8","4","Tyreek Hill vacates a 25% target share from a season ago, so it’s easy to tell yourself a story where JuJu is back in the good graces of fantasy managers after a lackluster couple of seasons in Pittsburgh. Of course, Patrick Mahomes is a guy who can support multiple fantasy options, but the WR2 role behind Tyreek has not been profitable for fantasy purposes. With Kelce still dominating targets, there’s probably only room for one of the KC WRs to be a reliable fantasy option. It’s possible that guy is JuJu, but one thing is for sure and that’s Jackson Mahomes and JuJu teaming up for some killer TikTok dances this season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Hunter Renfrow","LV","6","32","$9","172.5","3.0","4","After turning in the WR11 fantasy finish, Renfrow is an obvious regression candidate for fantasy leagues in 2022. While he’s locked into the slot role for Josh McDaniels’ offense, and that’s compelling, he’s now competing with Davante Adams and Darren Waller for targets. It’s probably unrealistic to project Renfrow for the 7.5 targets per game he saw last year if Adams and Waller are healthy this season. Consider him more of a WR3 in PPR leagues.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Michael Thomas","NO","14","33","$7","169.9","6.8","4","Thomas missed all of 2021 while recovering from his ankle surgery, and it’s been quite a while since we’ve seen him play football. In fact, the last time Thomas was on the field in 2020, Drew Brees was still in the NFL and Sean Payton was the head coach. There are many moving parts here, but he’s consistently been a 28+% target share type of guy. Thomas’ range of outcomes this season is massive.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Amari Cooper","CLE","9","34","$7","169.0","4.0","4","Cooper’s 2022 fantasy outlook largely depends on Deshaun Watson and his ongoing legal situation. If Watson plays a full season, Cooper would skyrocket up ADP boards given his talent and minimal target competition. However, if Watson were to miss a significant chunk of the season, it’s tough to get excited about any WR catching passes from Jacoby “Where’s the Beef” Brissett, who threw a combined 5 TD in 5 starts for Miami last season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Robert Woods","TEN","6","35","$6","166.4","6.5","4","Coming off a torn ACL, Woods goes from one of the more pass-centric offenses in the league to one of the most run-heavy offenses in Tennessee. We saw Julio go to Tennessee and do virtually nothing. Hopefully the same isn’t true for Bobby Trees.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"DeVonta Smith","PHI","7","36","$6","164.2","3.7","4","Smith’s 2022 outlook largely depends on what the Eagles decide to do from an offensive philosophy and Jalen Hurts’ ability to take a step forward as a passer. They were extremely run-heavy down the stretch but opened the year as one of the most pass-centric offenses in football. A.J. Brown’s arrival and monstrous contract will certainly make it more difficult for Smith to earn the target share he saw as a rookie. The real question here is whether or not Hurts can support two viable fantasy WRs.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Gabe Davis","BUF","7","37","$5","163.1","6.0","4","Davis showed what he can do in the playoffs last season when he exploded for 4 TD against the Chiefs. That said, this is still the Stefon Diggs show but we can expect plenty of spike weeks from Davis who should be running routes across from Diggs as this team’s WR2. Cole Beasley vacates a 19.3% target share from a season ago, and Buffalo throws at a top-5 rate. Oh yeah, and that guy Josh Allen… he throws a lot of touchdowns.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Chase Claypool","PIT","9","38","$3","155.6","6.0","5","It was a disappointing season for Claypool to say the least as he got benched at times throughout the season and failed to live up to his ADP, logging just three top-24 fantasy weeks all season. His 56% catch rate a year ago ranked 48th among 50 WRs who saw at least 75 targets. He’s a guy oozing with talent, but can the combination of Kenny Pickett and Mitch Trubisky help him elevate his game to the next level in year three?","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Chris Godwin","TB","11","39","$3","155.5","6.6","5","Godwin’s 2021 season came to an early end after he tore his ACL late in the season, which makes his early season 2022 outlook a bit uncertain. It’s possible he starts the season slowly, but when he’s healthy, he’s tied to one of the most pass-happy offenses in football with Tom Brady. Mike Evans will certainly get his around the goal line, but Godwin actually led the Bucs in targets from TB12 inside the red zone, giving him more upside than most would expect.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Allen Lazard","GB","14","40","$3","155.1","5.3","5","Allen Lazard is one of the biggest winners of the off-season. He went from being a guy who could potentially get buried on the depth chart by big-name free agents to entering the season as Rodgers’ WR1 with Davante Adams now in Las Vegas. Lazard will be competing with perennial disappointment, Sammy Watkins, and 2nd round rookie, Christian Watson for targets this year. With Adams vacating a 31.6% target share, there’s plenty of opportunity for Lazard to make a fantasy impact in 2022.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tyler Lockett","SEA","11","41","$2","153.0","5.0","5","Just like with his teammate, DK Metcalf, the offensive environment and QB play are a concern. You could argue no other QB/WR combo had shown more chemistry on deep targets over the last five years than Russ and Lockett…and now that’s gone. Even with Russell Wilson, Lockett’s consistency was a concern for fantasy managers. Throw Drew Luck under center and now the floor has never looked lower for a WR turning 30 in September. Lockett looks like a boom/bust pick in the middle rounds of fantasy drafts this season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Drake London","ATL","14","42","$2","151.6","5.3","5","Aside from Kyle Pitts, there isn’t a ton of talent on this Falcons roster, especially at the WR position. London will step into an every down role in year one with plenty of opportunity, but the QB play is likely to be suspect, giving London a shaky floor in year one. Of course, we’ve been spoiled with elite fantasy production from rookie WRs recently but historically rookie wideouts are a bit slow to develop.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"DeVante Parker","NE","10","43","$2","151.0","5.3","5","Parker was traded to the Patriots this off-season, which is likely to severely cap his upside. A year ago, the Patriots threw at the lowest rate in the entire league when games were within one score as they chose to lean heavily on the run game. After taking an offensive lineman in Round 1 of the NFL Draft and drafting two more running backs, it’s likely they continue to feature the running game. While Parker will have some spiked weeks thanks to TD upside, the target volume might be difficult to trust despite the lack of high-end talent to compete with on this depth chart.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kadarius Toney","NYG","9","44","$2","150.8","6.3","5","Toney had a wild rookie season in New York. From the forgettable training camp to the ankle injury to the random 10/189 explosion in Week 6 against Dallas, Toney is a polarizing fantasy WR. However, the underlying efficiency metrics were among the best in football. His 2.14 yards per route run was 11th best at the position last year, and he earned a target on 27% of his routes. If he can see more targets this year, Toney has a chance to post some ceiling performances, but of course, the floor is quite low after what we saw last year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Garrett Wilson","NYJ","10","45","$1","149.5","5.3","5","Wilson was selected with the 10th overall pick in the 2022 NFL Draft, so he’s clearly a part of the Jets long-term plan, but his rookie season could be difficult. Corey Davis is still on the roster, and Elijah Moore showed he’s a talented WR last season. The team also added two viable pass-catching TEs via free agency, so the path to earning targets in year one won’t be easy. Of course, QB play and overall offensive environment are the primary concerns.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Chris Olave","NO","14","46","$1","145.6","5.2","5","It’s difficult to project volume for the rookie in the Saints passing offense in 2022 given that they were near the bottom of the league in pass rate and the influx of talent on the depth chart. Michael Thomas is back, and Jarvis Landry is there on a one-year deal. Alvin Kamara will most certainly get his out of the backfield, further splitting up the passing game pie.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Treylon Burks","TEN","6","47","$1","144.8","6.3","5","The Titans depth chart is wide open after the A.J. Brown trade. Tennessee replaced Brown with Burks via the 1st round of the NFL Draft and as it stands currently, Robert Woods is the only real competition for targets. Woods, who’s now 30 years old, is coming off a torn ACL, further opening up Burks’ opportunity. That said, this offense still flows through King Henry.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Marquez Valdes-Scantling","KC","8","48","$1","144.7","6.0","5","With Tyreek Hill now out of town and Mecole Hardman failing to contribute on a consistent basis throughout his career, MVS should have the chance to operate as the Chiefs' primary field stretcher. As we know, his production is difficult to trust on a weekly basis, but that role in this Chiefs offense should bring a few boom weeks from MVS this season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kenny Golladay","NYG","9","49","$1","143.3","7.3","5","Kenny Golladay was the ultimate bust in 2021, scoring the exact same number of TDs as you, your dog, and your great grandmother…combined. Yes, that’s right. Kenny G, who flashed red zone prowess during his time in Detroit, didn’t score a single TD a year ago. It’s safe to say those routes…well, they weren’t the smoothest. However, now Golladay is buried in ADP and if there’s any reason for optimism, it’s that Brian Daboll is going to want to throw the ball at one of the highest rates in football in a fantasy friendly scheme. We love throwing Kenny G on the bench as your WR3 or 4 after most fantasy managers are willing to kick him to the curb after a disappointing 2021.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Brandon Aiyuk","SF","9","50","$1","141.6","4.3","5","Aiyuk was the talk of the town entering fantasy drafts a season ago but was a major disappointment. Deebo Samuel is back, George Kittle can always pop up for a 100-yard game, and Kyle Shanahan is likely to continue to lean on the run game. Plus, can Trey Lance support multiple pass catchers? There’s a lot up in the air for Aiyuuuuukennn!","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Marvin Jones Jr.","JAX","11","51","$1","140.9","5.0","5","Jones posted his worst yards per route run and yards per reception marks since his 2012 rookie season. Jones was part of the trainwreck that was the Urban Meyer experience a season ago, so maybe that’s the reason for his lack of production. However, at age 32, is it fair to wonder if this is the beginning of the end for Marv.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tyler Boyd","CIN","10","52","$1","140.6","2.7","5","With Ja’Marr Chase and Tee Higgins both seeing about a 24% target share last season, Boyd was clearly the third option in the passing game (18% target share), which is always going to come with reduced consistency in terms of fantasy performance. We can expect some solid weeks from Boyd running out of the slot for Cincy this year, but predicting those weeks with Higgins and Chase healthy is going to be difficult to do.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Michael Gallup","DAL","9","53","$1","137.9","7.3","5","Gallup tore his ACL in Week 17 but didn’t have surgery until February, giving him a tight timeline to be ready for Week 1. If he does start the season in the lineup, it’s reasonable to expect a slow start coming off an injury. As a result, he may be a solid trade target after the first few weeks of the season as he should play his best football over the second half of the season. There’s plenty of opportunity for Gallup once he’s healthy with Dallas vacating 181 WR targets from a season ago.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"K.J. Osborn","MIN","7","54","$1","136.4","3.7","6","Osborn flashed last season as the Vikings WR3 with a respectable six weeks inside the top-24. The problem is he’s not going to see enough volume to be a reliable contributor in fantasyland as long as Justin Jefferson, Adam Thielen, and Dalvin Cook are all healthy.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jakobi Meyers","NE","10","55","$1","135.9","4.0","6","Meyers flashed a handful of WR2 weeks last season, but the reality was he just didn’t score enough TDs to be a reliable contributor for fantasy. Now, DeVante Parker is in town as a red zone threat, and Hunter Henry also figures to be heavily featured near the goal line once again for a team that ranked 29th in pass rate over expectation inside the red zone. In other words, when they got close last year, it was the Damien Harris and Rhamondre Stevenson show. If that continues, the ceiling for Meyers is low.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Julio Jones","TB","11","56","$1","135.6","7.0","6","Tom Brady just wants to watch the world burn. Adding Julio Jones to an already elite WR group feels like cheating. But remember this is an age-33 version of Julio who saw just 16 percent of the Titans' targets when he was on the field. That last part is key as he played in only 10 contests finishing with a paltry 31/434/1 line. TDs have never really been his thing but with Brady, all things are possible. He'll likely be running as the old man out of the slot but as a part-time player once Chris Godwin comes back.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kendrick Bourne","NE","10","57","$1","133.4","3.7","6","The Patriots are likely to run the heck out of the football and now DeVante Parker is on the roster. He’ll rotate in and out of the lineup as the team’s WR2 on a run first team…gross.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jarvis Landry","NO","14","58","$1","133.3","6.0","6","Over 50% of Landry’s targets last year came less than 10 yards down the field, and now he’s sharing the field with Michael Thomas who has dominated the short-to-intermediate passing game in NOLA for years. Alvin Kamara will also get his out of the backfield, making it difficult to see enough volume for Landry to produce on a consistent basis in this offense, especially when you factor in Chris Olave and his 11th overall NFL Draft capital.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
